"YEAR", "DDD", "MM", "DD", "HH", "mm", "hh_mmm", "ZNAGL", "dw_psp", "qc", "uw_psp", "qc", "direct", "qc", "diffuse", "qc", "dw_pir", "qc", "dwCasTmp", "qc", "dwDomTmp", "qc", "uw_pir", "qc", "uwCastmp", "qc", "uwDomtmp", "qc", "uvb", "qc", "par", "qc", "netSolar", "qc", "netIr", "qc", "totalNet", "qc", "temp", "qc", "rh", "qc", "windSp", "qc", "winsDir", "qc", "Baro", "qc"
1995,1,1,1,0,57,0.950,115.52,-5.5,0,0.0,0,-0.9,0,-9999.9,1,323.7,0,276.1,0,275.0,0,314.1,0,273.3,0,273.4,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,0,1.000,116.08,-5.5,0,0.0,0,-0.8,0,-9999.9,1,323.4,0,276.1,0,275.0,0,314.2,0,273.2,0,273.3,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,3,1.050,116.65,-4.5,0,0.0,0,-0.7,0,-9999.9,1,323.4,0,276.0,0,275.0,0,313.9,0,273.2,0,273.3,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,6,1.100,117.22,-5.5,0,0.0,0,-0.7,0,-9999.9,1,323.2,0,276.0,0,275.0,0,313.8,0,273.2,0,273.3,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,9,1.150,117.79,-5.5,0,0.0,0,-0.7,0,-9999.9,1,322.8,0,276.0,0,274.9,0,314.2,0,273.2,0,273.3,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,12,1.200,118.35,-5.4,0,0.0,0,-0.7,0,-9999.9,1,323.5,0,276.0,0,274.9,0,314.1,0,273.2,0,273.3,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,15,1.250,118.92,-5.1,0,0.0,0,-0.7,0,-9999.9,1,324.6,0,275.9,0,274.7,0,314.1,0,273.2,0,273.3,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,18,1.300,119.49,-5.3,0,0.0,0,-0.7,0,-9999.9,1,323.7,0,275.9,0,274.7,0,314.0,0,273.2,0,273.3,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,21,1.350,120.07,-5.4,0,-0.1,0,-0.7,0,-9999.9,1,326.0,0,275.9,0,274.6,0,314.1,0,273.2,0,273.3,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,24,1.400,120.64,-5.4,0,0.0,0,-0.7,0,-9999.9,1,323.2,0,275.9,0,274.9,0,314.0,0,273.2,0,273.3,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,27,1.450,121.21,-5.4,0,-0.1,0,-0.7,0,-9999.9,1,326.1,0,275.9,0,274.5,0,314.0,0,273.2,0,273.3,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,30,1.500,121.78,-4.9,0,-0.1,0,-0.7,0,-9999.9,1,322.4,0,275.9,0,274.9,0,314.0,0,273.1,0,273.3,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,33,1.550,122.35,-4.5,0,-0.1,0,-0.7,0,-9999.9,1,324.1,0,275.9,0,274.7,0,314.1,0,273.1,0,273.2,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,36,1.600,122.92,-5.1,0,-0.1,0,-0.7,0,-9999.9,1,322.7,0,275.9,0,274.9,0,313.9,0,273.1,0,273.2,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,39,1.650,123.50,-5.4,0,0.0,0,-0.7,0,-9999.9,1,322.2,0,275.9,0,274.9,0,313.9,0,273.1,0,273.2,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,42,1.700,124.07,-5.4,0,0.0,0,-0.7,0,-9999.9,1,322.2,0,275.9,0,274.9,0,313.9,0,273.1,0,273.2,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,45,1.750,124.64,-5.5,0,0.0,0,-0.7,0,-9999.9,1,320.1,0,276.0,0,275.1,0,313.9,0,273.1,0,273.2,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,48,1.800,125.22,-5.4,0,0.0,0,-0.7,0,-9999.9,1,318.6,0,276.0,0,275.2,0,313.8,0,273.1,0,273.2,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,51,1.850,125.79,-5.5,0,0.0,0,-0.7,0,-9999.9,1,319.3,0,276.0,0,275.2,0,313.9,0,273.1,0,273.2,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,54,1.900,126.36,-5.5,0,0.0,0,-0.7,0,-9999.9,1,319.1,0,276.0,0,275.3,0,314.0,0,273.1,0,273.2,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,57,1.950,126.94,-5.5,0,0.0,0,-0.8,0,-9999.9,1,318.7,0,276.0,0,275.3,0,313.6,0,273.1,0,273.2,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,0,2.000,127.51,-5.7,0,0.0,0,-0.7,0,-9999.9,1,318.9,0,276.0,0,275.3,0,313.5,0,273.1,0,273.2,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,3,2.050,128.08,-5.5,0,0.0,0,-0.9,0,-9999.9,1,318.9,0,276.0,0,275.3,0,313.6,0,273.0,0,273.1,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
