"YEAR", "DDD", "MM", "DD", "HH", "mm", "hh.mmm", "ZNAGL", "dw_psp", "qc", "uw_psp", "qc", "direct", "qc", "diffuse", "qc", "dw_pir", "qc", "dwCasTmp", "qc", "dwDomTmp", "qc", "uw_pir", "qc", "uwCastmp", "qc", "uwDomtmp", "qc", "uvb", "qc", "par", "qc", "netSolar", "qc", "netIr", "qc", "totalNet", "qc", "temp", "qc", "rh", "qc", "windSp", "qc", "winsDir", "qc", "Baro", "qc"
2005,206,7,25,0,0,0.000,77.14,132.6,0,37.1,0,350.7,0,67.6,0,437.4,0,310.4,0,309.8,0,490.7,0,306.3,0,306.4,0,7.9,0,62.4,0,108.5,0,-53.3,0,55.3,0,32.2,0,73.8,0,2.7,0,216.4,0,987.7,0
2005,206,7,25,0,3,0.050,77.69,125.1,0,35.4,0,339.9,0,65.2,0,437.8,0,310.3,0,309.7,0,489.9,0,306.3,0,306.3,0,7.3,0,59.0,0,102.3,0,-52.1,0,50.2,0,32.1,0,73.4,0,3.0,0,218.5,0,987.7,0
2005,206,7,25,0,6,0.100,78.24,117.6,0,33.8,0,331.2,0,62.5,0,437.3,0,310.1,0,309.6,0,488.7,0,306.2,0,306.2,0,6.7,0,55.6,0,96.2,0,-51.4,0,44.7,0,32.1,0,73.6,0,3.1,0,213.4,0,987.7,0
2005,206,7,25,0,9,0.150,78.79,110.1,0,32.1,0,320.2,0,60.1,0,436.3,0,310.0,0,309.4,0,487.7,0,306.1,0,306.1,0,6.2,0,52.3,0,90.2,0,-51.4,0,38.8,0,32.0,0,74.2,0,3.2,0,208.6,0,987.6,0
2005,206,7,25,0,12,0.200,79.34,100.8,0,29.7,0,299.0,0,57.2,0,435.8,0,309.9,0,309.3,0,486.8,0,306.0,0,306.0,0,5.6,0,48.4,0,82.8,0,-51.0,0,31.8,0,31.9,0,75.5,0,3.2,0,206.4,0,987.7,0
2005,206,7,25,0,15,0.250,79.88,94.1,0,28.3,0,290.6,0,54.2,0,435.0,0,309.7,0,309.1,0,486.0,0,305.9,0,305.9,0,5.1,0,45.0,0,76.9,0,-51.0,0,25.9,0,31.7,0,77.0,0,3.1,0,203.8,0,987.7,0
2005,206,7,25,0,18,0.300,80.43,86.5,0,26.4,0,274.4,0,51.6,0,434.1,0,309.6,0,309.0,0,485.2,0,305.8,0,305.8,0,4.6,0,41.6,0,70.9,0,-51.0,0,19.9,0,31.6,0,77.8,0,3.2,0,201.0,0,987.6,0
2005,206,7,25,0,21,0.350,80.97,80.0,0,24.7,0,261.3,0,49.4,0,433.5,0,309.4,0,308.8,0,484.2,0,305.7,0,305.7,0,4.2,0,38.7,0,65.7,0,-50.7,0,15.0,0,31.5,0,78.7,0,3.0,0,200.1,0,987.6,0
2005,206,7,25,0,24,0.400,81.51,73.4,0,22.8,0,245.9,0,47.0,0,433.1,0,309.2,0,308.6,0,483.4,0,305.6,0,305.5,0,3.8,0,35.8,0,60.5,0,-50.3,0,10.3,0,31.4,0,79.1,0,3.0,0,199.8,0,987.6,0
2005,206,7,25,0,27,0.450,82.04,65.9,0,20.7,0,225.2,0,44.0,0,432.7,0,309.0,0,308.4,0,482.4,0,305.5,0,305.4,0,3.4,0,32.5,0,54.5,0,-49.7,0,4.8,0,31.3,0,79.6,0,3.2,0,196.3,0,987.6,0
2005,206,7,25,0,30,0.500,82.58,58.9,0,18.7,0,205.6,0,41.1,0,432.3,0,308.8,0,308.3,0,481.4,0,305.3,0,305.3,0,3.0,0,29.2,0,48.9,0,-49.1,0,-0.2,0,31.3,0,79.9,0,3.2,0,195.9,0,987.6,0
2005,206,7,25,0,33,0.550,83.11,52.6,0,16.9,0,188.4,0,38.2,0,431.9,0,308.6,0,308.1,0,480.4,0,305.2,0,305.2,0,2.7,0,26.2,0,43.9,0,-48.5,0,-4.7,0,31.2,0,80.1,0,3.1,0,195.3,0,987.7,0
2005,206,7,25,0,36,0.600,83.64,47.0,0,15.2,0,171.7,0,35.5,0,431.6,0,308.4,0,307.9,0,479.5,0,305.1,0,305.0,0,2.4,0,23.5,0,39.4,0,-47.9,0,-8.5,0,31.1,0,80.9,0,3.0,0,193.6,0,987.7,0
2005,206,7,25,0,39,0.650,84.17,41.7,0,13.5,0,153.6,0,33.0,0,431.6,0,308.2,0,307.7,0,478.5,0,305.0,0,304.9,0,2.1,0,21.1,0,35.1,0,-46.9,0,-11.8,0,31.0,0,81.8,0,2.8,0,194.9,0,987.7,0
2005,206,7,25,0,42,0.700,84.69,36.5,0,11.8,0,135.7,0,30.3,0,431.6,0,308.0,0,307.5,0,477.7,0,304.9,0,304.8,0,1.8,0,18.7,0,31.1,0,-46.1,0,-15.0,0,30.9,0,82.1,0,2.6,0,196.8,0,987.7,0
2005,206,7,25,0,45,0.750,85.21,31.6,0,10.2,0,117.9,0,27.7,0,431.5,0,307.8,0,307.3,0,476.7,0,304.7,0,304.7,0,1.6,0,16.6,0,27.3,0,-45.2,0,-17.9,0,30.9,0,82.1,0,2.7,0,199.3,0,987.7,0
2005,206,7,25,0,48,0.800,85.72,27.1,0,8.9,0,102.7,0,25.0,0,431.0,0,307.6,0,307.1,0,475.8,0,304.6,0,304.6,0,1.3,0,14.6,0,23.8,0,-44.8,0,-21.0,0,30.9,0,82.2,0,2.7,0,201.7,0,987.7,0
2005,206,7,25,0,51,0.850,86.23,22.6,0,7.5,0,86.2,0,22.2,0,430.2,0,307.4,0,306.9,0,474.6,0,304.5,0,304.5,0,1.1,0,12.8,0,20.4,0,-44.4,0,-24.0,0,30.8,0,82.3,0,2.7,0,202.3,0,987.7,0
2005,206,7,25,0,54,0.900,86.74,18.0,0,6.2,0,69.4,0,19.4,0,429.5,0,307.2,0,306.7,0,473.5,0,304.4,0,304.4,0,1.0,0,11.1,0,17.1,0,-44.0,0,-26.8,0,30.7,0,82.3,0,2.9,0,202.3,0,987.7,0
2005,206,7,25,0,57,0.950,87.23,13.8,0,5.2,0,53.6,0,16.7,0,428.7,0,307.0,0,306.5,0,472.4,0,304.3,0,304.2,0,0.9,0,9.4,0,14.1,0,-43.7,0,-29.7,0,30.7,0,82.3,0,2.9,0,200.6,0,987.7,0
2005,206,7,25,1,0,1.000,87.72,10.7,0,4.3,0,36.3,0,13.9,0,428.0,0,306.8,0,306.2,0,471.4,0,304.2,0,304.1,0,0.7,0,7.9,0,11.0,0,-43.4,0,-32.3,0,30.6,0,82.4,0,3.0,0,199.5,0,987.7,0
2005,206,7,25,1,3,1.050,88.20,8.2,0,3.2,0,21.2,0,11.2,0,427.4,0,306.5,0,306.0,0,470.4,0,304.1,0,304.0,0,0.6,0,6.5,0,8.7,0,-43.0,0,-34.3,0,30.5,0,82.6,0,3.0,0,198.4,0,987.7,0
2005,206,7,25,1,6,1.100,88.66,5.9,0,2.5,0,9.3,0,8.7,0,426.6,0,306.3,0,305.8,0,469.3,0,303.9,0,303.9,0,0.5,0,5.3,0,6.4,0,-42.7,0,-36.3,0,30.4,0,83.0,0,3.1,0,197.6,0,987.7,0
2005,206,7,25,1,9,1.150,89.10,4.1,0,1.9,0,-0.9,0,6.4,0,426.6,0,306.1,0,305.5,0,468.3,0,303.8,0,303.7,0,0.4,0,4.2,0,4.5,0,-41.7,0,-37.2,0,30.2,0,83.4,0,3.1,0,198.0,0,987.7,0
2005,206,7,25,1,12,1.200,89.52,2.2,0,1.6,0,-2.8,0,4.6,0,426.8,0,305.8,0,305.3,0,467.3,0,303.7,0,303.6,0,0.3,0,3.2,0,3.0,0,-40.5,0,-37.5,0,30.0,0,84.2,0,3.2,0,197.3,0,987.8,0
2005,206,7,25,1,15,1.250,89.90,0.7,0,1.2,0,-3.3,0,3.3,0,426.9,0,305.6,0,305.1,0,466.7,0,303.5,0,303.4,0,0.2,0,2.5,0,2.1,0,-39.8,0,-37.8,0,29.8,0,84.8,0,3.4,0,196.7,0,987.8,0
2005,206,7,25,1,18,1.300,91.13,-0.7,0,1.1,0,-3.7,0,1.9,0,427.1,0,305.4,0,304.9,0,466.4,0,303.3,0,303.2,0,0.0,0,1.9,0,0.8,0,-39.3,0,-38.5,0,29.7,0,85.1,0,3.5,0,199.1,0,987.8,0
2005,206,7,25,1,21,1.350,91.64,-1.9,0,0.6,0,-4.8,0,0.8,0,427.1,0,305.2,0,304.7,0,466.0,0,303.2,0,303.1,0,0.0,0,1.3,0,0.2,0,-39.0,0,-38.8,0,29.6,0,85.5,0,3.5,0,199.8,0,987.8,0
2005,206,7,25,1,24,1.400,92.14,-2.9,0,0.4,0,-5.1,0,-0.1,0,427.0,0,305.0,0,304.5,0,465.7,0,303.0,0,302.9,0,0.0,0,0.8,0,0.0,0,-38.7,0,-38.7,0,29.5,0,86.0,0,3.6,0,198.8,0,987.8,0
2005,206,7,25,1,27,1.450,92.65,-3.6,0,0.4,0,-4.9,0,-0.7,0,426.7,0,304.8,0,304.3,0,465.4,0,302.9,0,302.8,0,0.0,0,0.5,0,0.0,0,-38.7,0,-38.7,0,29.5,0,86.3,0,3.7,0,197.5,0,987.9,0
2005,206,7,25,1,30,1.500,93.15,-3.9,0,0.4,0,-4.6,0,-1.0,0,426.7,0,304.6,0,304.2,0,465.1,0,302.8,0,302.7,0,0.0,0,0.3,0,0.0,0,-38.5,0,-38.5,0,29.4,0,86.7,0,3.8,0,197.7,0,987.9,0
2005,206,7,25,1,33,1.550,93.65,-4.2,0,0.4,0,-4.2,0,-1.1,0,426.7,0,304.5,0,304.0,0,464.9,0,302.7,0,302.6,0,0.0,0,0.2,0,0.0,0,-38.2,0,-38.2,0,29.3,0,87.0,0,3.7,0,198.5,0,987.9,0
2005,206,7,25,1,36,1.600,94.15,-4.4,0,0.4,0,-3.8,0,-1.1,0,426.5,0,304.4,0,303.9,0,464.7,0,302.6,0,302.5,0,0.0,0,0.1,0,0.0,0,-38.2,0,-38.2,0,29.2,0,87.1,0,3.7,0,199.4,0,987.9,0
2005,206,7,25,1,39,1.650,94.65,-4.6,0,0.3,0,-3.2,0,-1.2,0,425.7,0,304.2,0,303.8,0,464.6,0,302.5,0,302.4,0,0.0,0,0.1,0,0.0,0,-38.9,0,-38.9,0,29.1,0,86.9,0,3.7,0,201.2,0,987.9,0
2005,206,7,25,1,42,1.700,95.14,-4.6,0,0.2,0,-2.7,0,-1.2,0,425.3,0,304.1,0,303.7,0,464.2,0,302.4,0,302.3,0,0.0,0,0.0,0,0.0,0,-38.9,0,-38.9,0,29.1,0,86.8,0,3.7,0,201.2,0,987.9,0
2005,206,7,25,1,45,1.750,95.63,-4.6,0,0.1,0,-2.4,0,-1.2,0,425.2,0,304.1,0,303.6,0,464.0,0,302.3,0,302.2,0,0.0,0,0.0,0,0.0,0,-38.8,0,-38.8,0,29.1,0,86.6,0,3.8,0,202.3,0,987.9,0
2005,206,7,25,1,48,1.800,96.12,-4.6,0,0.1,0,-2.0,0,-1.2,0,425.0,0,304.0,0,303.5,0,463.6,0,302.2,0,302.2,0,0.0,0,0.0,0,0.0,0,-38.6,0,-38.6,0,29.1,0,86.5,0,3.6,0,203.3,0,988.0,0
2005,206,7,25,1,51,1.850,96.60,-4.6,0,0.0,0,-1.8,0,-1.2,0,425.3,0,303.9,0,303.5,0,463.1,0,302.2,0,302.1,0,0.0,0,0.0,0,0.0,0,-37.8,0,-37.8,0,29.0,0,86.6,0,3.5,0,204.5,0,988.1,0
2005,206,7,25,1,54,1.900,97.09,-4.6,0,0.0,0,-1.7,0,-1.2,0,425.3,0,303.8,0,303.4,0,462.2,0,302.1,0,302.0,0,0.0,0,0.0,0,0.0,0,-36.9,0,-36.9,0,29.0,0,86.7,0,3.2,0,205.1,0,988.1,0
2005,206,7,25,1,57,1.950,97.57,-4.5,0,-0.1,0,-1.5,0,-1.2,0,425.4,0,303.7,0,303.3,0,461.5,0,302.0,0,302.0,0,0.0,0,0.0,0,0.0,0,-36.2,0,-36.2,0,28.9,0,86.8,0,3.1,0,206.4,0,988.2,0
2005,206,7,25,2,0,2.000,98.04,-4.5,0,-0.1,0,-1.6,0,-1.2,0,425.0,0,303.6,0,303.2,0,461.2,0,302.0,0,301.9,0,0.0,0,0.0,0,0.0,0,-36.2,0,-36.2,0,28.9,0,86.8,0,3.3,0,205.8,0,988.2,0
2005,206,7,25,2,3,2.050,98.52,-4.5,0,-0.1,0,-1.5,0,-1.3,0,424.6,0,303.6,0,303.1,0,460.9,0,301.9,0,301.9,0,0.0,0,0.0,0,0.0,0,-36.3,0,-36.3,0,28.9,0,86.6,0,3.5,0,203.8,0,988.3,0
2005,206,7,25,2,6,2.100,98.99,-4.6,0,-0.2,0,-1.4,0,-1.3,0,424.2,0,303.5,0,303.1,0,461.0,0,301.9,0,301.8,0,0.0,0,0.0,0,0.0,0,-36.8,0,-36.8,0,28.9,0,86.4,0,3.8,0,204.0,0,988.3,0
2005,206,7,25,2,9,2.150,99.45,-4.6,0,-0.1,0,-1.3,0,-1.2,0,423.5,0,303.4,0,303.0,0,461.0,0,301.8,0,301.8,0,0.0,0,0.0,0,0.0,0,-37.4,0,-37.4,0,28.8,0,86.4,0,3.9,0,203.2,0,988.3,0
2005,206,7,25,2,12,2.200,99.92,-4.6,0,0.0,0,-1.1,0,-1.2,0,422.9,0,303.3,0,302.9,0,460.6,0,301.8,0,301.7,0,0.0,0,0.0,0,0.0,0,-37.7,0,-37.7,0,28.7,0,86.9,0,3.8,0,201.4,0,988.4,0
2005,206,7,25,2,15,2.250,100.38,-4.6,0,0.1,0,-1.0,0,-1.1,0,422.6,0,303.3,0,302.9,0,460.4,0,301.7,0,301.6,0,0.0,0,0.0,0,0.0,0,-37.8,0,-37.8,0,28.6,0,87.5,0,4.0,0,202.1,0,988.4,0
2005,206,7,25,2,18,2.300,100.84,-4.6,0,0.0,0,-0.9,0,-1.1,0,422.7,0,303.2,0,302.8,0,460.5,0,301.6,0,301.6,0,0.0,0,0.0,0,0.0,0,-37.8,0,-37.8,0,28.5,0,87.2,0,4.0,0,203.1,0,988.4,0
2005,206,7,25,2,21,2.350,101.29,-4.6,0,-0.1,0,-0.6,0,-1.0,0,423.0,0,303.2,0,302.8,0,460.7,0,301.6,0,301.5,0,0.0,0,0.0,0,0.0,0,-37.8,0,-37.8,0,28.6,0,86.7,0,4.0,0,202.9,0,988.4,0
2005,206,7,25,2,24,2.400,101.74,-4.6,0,-0.2,0,-0.3,0,-1.0,0,423.8,0,303.1,0,302.8,0,461.1,0,301.6,0,301.5,0,0.0,0,0.0,0,0.0,0,-37.2,0,-37.2,0,28.7,0,85.5,0,4.2,0,203.9,0,988.5,0
2005,206,7,25,2,27,2.450,102.19,-4.6,0,-0.2,0,-0.1,0,-0.9,0,424.2,0,303.1,0,302.7,0,461.1,0,301.6,0,301.5,0,0.0,0,0.0,0,0.0,0,-36.9,0,-36.9,0,28.7,0,84.9,0,4.0,0,205.3,0,988.5,0
2005,206,7,25,2,30,2.500,102.63,-4.6,0,-0.2,0,0.0,0,-0.9,0,423.0,0,303.1,0,302.7,0,460.7,0,301.6,0,301.5,0,0.0,0,0.0,0,0.0,0,-37.7,0,-37.7,0,28.7,0,84.6,0,3.8,0,203.9,0,988.5,0
2005,206,7,25,2,33,2.550,103.07,-4.7,0,-0.1,0,0.0,0,-0.9,0,422.6,0,303.1,0,302.7,0,460.1,0,301.5,0,301.5,0,0.0,0,0.0,0,0.0,0,-37.5,0,-37.5,0,28.6,0,84.8,0,3.8,0,204.5,0,988.5,0
2005,206,7,25,2,36,2.600,103.51,-4.7,0,-0.1,0,-0.2,0,-1.0,0,422.0,0,303.1,0,302.7,0,459.8,0,301.5,0,301.5,0,0.0,0,0.0,0,0.0,0,-37.8,0,-37.8,0,28.5,0,84.8,0,3.6,0,204.4,0,988.6,0
2005,206,7,25,2,39,2.650,103.94,-4.6,0,0.0,0,-0.3,0,-1.0,0,421.3,0,303.1,0,302.7,0,459.1,0,301.5,0,301.4,0,0.0,0,0.0,0,0.0,0,-37.7,0,-37.7,0,28.4,0,85.1,0,3.5,0,204.1,0,988.6,0
2005,206,7,25,2,42,2.700,104.37,-4.6,0,0.0,0,-0.4,0,-1.1,0,421.0,0,303.0,0,302.6,0,458.3,0,301.4,0,301.4,0,0.0,0,0.0,0,0.0,0,-37.3,0,-37.3,0,28.3,0,85.5,0,3.5,0,205.9,0,988.6,0
2005,206,7,25,2,45,2.750,104.80,-4.6,0,0.0,0,-0.6,0,-1.1,0,421.2,0,303.0,0,302.6,0,458.1,0,301.4,0,301.3,0,0.0,0,0.0,0,0.0,0,-36.9,0,-36.9,0,28.2,0,85.4,0,3.7,0,205.1,0,988.6,0
2005,206,7,25,2,48,2.800,105.22,-4.6,0,0.0,0,-0.7,0,-1.1,0,421.0,0,302.9,0,302.5,0,457.7,0,301.3,0,301.2,0,0.0,0,0.0,0,0.0,0,-36.6,0,-36.6,0,28.2,0,85.4,0,3.7,0,203.6,0,988.6,0
2005,206,7,25,2,51,2.850,105.63,-4.6,0,0.0,0,-0.8,0,-1.2,0,420.9,0,302.9,0,302.5,0,457.3,0,301.2,0,301.2,0,0.0,0,0.0,0,0.0,0,-36.4,0,-36.4,0,28.1,0,85.6,0,3.6,0,202.4,0,988.6,0
2005,206,7,25,2,54,2.900,106.05,-4.6,0,0.0,0,-0.7,0,-1.1,0,420.8,0,302.8,0,302.4,0,456.9,0,301.2,0,301.1,0,0.0,0,0.0,0,0.0,0,-36.1,0,-36.1,0,28.0,0,86.0,0,3.4,0,203.2,0,988.7,0
2005,206,7,25,2,57,2.950,106.46,-4.6,0,0.0,0,-0.8,0,-1.1,0,420.3,0,302.8,0,302.4,0,456.3,0,301.1,0,301.0,0,0.0,0,0.0,0,0.0,0,-35.9,0,-35.9,0,27.8,0,86.7,0,3.4,0,202.5,0,988.7,0
2005,206,7,25,3,0,3.000,106.86,-4.6,0,0.1,0,-0.9,0,-1.2,0,419.9,0,302.7,0,302.3,0,455.6,0,301.0,0,300.9,0,0.0,0,0.0,0,0.0,0,-35.7,0,-35.7,0,27.7,0,87.4,0,3.3,0,203.2,0,988.7,0
2005,206,7,25,3,3,3.050,107.26,-4.5,0,0.1,0,-1.0,0,-1.2,0,419.6,0,302.7,0,302.3,0,455.2,0,300.9,0,300.9,0,0.0,0,0.0,0,0.0,0,-35.6,0,-35.6,0,27.6,0,87.9,0,3.3,0,202.5,0,988.7,0
2005,206,7,25,3,6,3.100,107.66,-4.5,0,0.0,0,-1.0,0,-1.2,0,419.3,0,302.6,0,302.2,0,455.0,0,300.8,0,300.8,0,0.0,0,0.0,0,0.0,0,-35.7,0,-35.7,0,27.5,0,88.3,0,3.4,0,200.9,0,988.6,0
2005,206,7,25,3,9,3.150,108.05,-4.5,0,0.0,0,-1.0,0,-1.2,0,419.0,0,302.5,0,302.1,0,454.8,0,300.8,0,300.7,0,0.0,0,0.0,0,0.0,0,-35.8,0,-35.8,0,27.5,0,88.4,0,3.4,0,200.9,0,988.6,0
2005,206,7,25,3,12,3.200,108.44,-4.5,0,0.0,0,-0.9,0,-1.2,0,419.2,0,302.5,0,302.1,0,454.5,0,300.7,0,300.6,0,0.0,0,0.0,0,0.0,0,-35.4,0,-35.4,0,27.5,0,88.5,0,3.4,0,202.3,0,988.6,0
2005,206,7,25,3,15,3.250,108.82,-4.5,0,0.0,0,-0.9,0,-1.2,0,419.5,0,302.4,0,302.0,0,454.6,0,300.6,0,300.6,0,0.0,0,0.0,0,0.0,0,-35.1,0,-35.1,0,27.4,0,88.6,0,3.5,0,204.6,0,988.7,0
2005,206,7,25,3,18,3.300,109.20,-4.5,0,0.0,0,-0.7,0,-1.1,0,419.6,0,302.4,0,302.0,0,454.5,0,300.6,0,300.5,0,0.0,0,0.0,0,0.0,0,-34.9,0,-34.9,0,27.4,0,88.7,0,3.3,0,206.2,0,988.7,0
2005,206,7,25,3,21,3.350,109.57,-4.4,0,0.0,0,-0.6,0,-1.1,0,419.5,0,302.3,0,301.9,0,454.4,0,300.5,0,300.5,0,0.0,0,0.0,0,0.0,0,-34.9,0,-34.9,0,27.4,0,88.8,0,3.3,0,207.6,0,988.7,0
2005,206,7,25,3,24,3.400,109.94,-4.4,0,0.0,0,-0.5,0,-1.1,0,419.7,0,302.3,0,301.9,0,454.5,0,300.5,0,300.4,0,0.0,0,0.0,0,0.0,0,-34.9,0,-34.9,0,27.4,0,88.6,0,3.3,0,208.6,0,988.7,0
2005,206,7,25,3,27,3.450,110.30,-4.5,0,0.0,0,-0.3,0,-1.0,0,419.7,0,302.2,0,301.8,0,454.8,0,300.4,0,300.4,0,0.0,0,0.0,0,0.0,0,-35.1,0,-35.1,0,27.4,0,88.6,0,3.4,0,209.0,0,988.8,0
2005,206,7,25,3,30,3.500,110.66,-4.5,0,-0.1,0,-0.2,0,-1.0,0,419.5,0,302.2,0,301.8,0,455.1,0,300.4,0,300.4,0,0.0,0,0.0,0,0.0,0,-35.6,0,-35.6,0,27.5,0,88.2,0,3.4,0,209.5,0,988.7,0
2005,206,7,25,3,33,3.550,111.01,-4.5,0,-0.2,0,0.1,0,-1.0,0,419.2,0,302.2,0,301.8,0,455.4,0,300.4,0,300.4,0,0.0,0,0.0,0,0.0,0,-36.1,0,-36.1,0,27.5,0,87.9,0,3.7,0,212.2,0,988.8,0
2005,206,7,25,3,36,3.600,111.36,-4.6,0,-0.2,0,0.2,0,-0.9,0,419.1,0,302.2,0,301.8,0,455.6,0,300.4,0,300.4,0,0.0,0,0.0,0,0.0,0,-36.5,0,-36.5,0,27.6,0,87.4,0,3.8,0,213.5,0,988.8,0
2005,206,7,25,3,39,3.650,111.70,-4.6,0,-0.3,0,0.3,0,-0.9,0,419.3,0,302.2,0,301.8,0,456.0,0,300.4,0,300.4,0,0.0,0,0.0,0,0.0,0,-36.7,0,-36.7,0,27.7,0,87.1,0,3.9,0,212.8,0,988.8,0
2005,206,7,25,3,42,3.700,112.03,-4.6,0,-0.5,0,0.5,0,-0.9,0,419.4,0,302.2,0,301.8,0,456.3,0,300.5,0,300.5,0,0.0,0,0.0,0,0.0,0,-36.9,0,-36.9,0,27.7,0,86.6,0,3.9,0,213.1,0,988.8,0
