"YEAR", "DDD", "MM", "DD", "HH", "mm", "hh.mmm", "ZNAGL", "dw_psp", "qc", "uw_psp", "qc", "direct", "qc", "diffuse", "qc", "dw_pir", "qc", "dwCasTmp", "qc", "dwDomTmp", "qc", "uw_pir", "qc", "uwCastmp", "qc", "uwDomtmp", "qc", "uvb", "qc", "par", "qc", "netSolar", "qc", "netIr", "qc", "totalNet", "qc", "temp", "qc", "rh", "qc", "windSp", "qc", "winsDir", "qc", "Baro", "qc"
2005,201,7,20,0,0,0.000,76.56,156.8,0,37.4,0,497.5,0,56.8,0,385.6,0,307.2,0,306.6,0,460.8,0,305.1,0,305.0,0,9.1,0,72.1,0,135.1,0,-75.2,0,59.9,0,29.2,0,54.1,0,0.3,0,199.4,0,989.9,0
2005,201,7,20,0,3,0.050,77.11,147.9,0,35.3,0,486.1,0,54.4,0,385.4,0,307.1,0,306.5,0,460.2,0,305.0,0,305.0,0,8.4,0,68.1,0,127.6,0,-74.9,0,52.7,0,29.1,0,55.8,0,0.3,0,176.2,0,989.9,0
2005,201,7,20,0,6,0.100,77.65,138.9,0,33.1,0,472.7,0,52.4,0,385.2,0,307.0,0,306.4,0,459.5,0,305.0,0,304.9,0,7.7,0,64.1,0,120.3,0,-74.3,0,46.0,0,29.0,0,55.1,0,0.4,0,166.0,0,989.9,0
2005,201,7,20,0,9,0.150,78.20,129.6,0,31.2,0,455.0,0,50.5,0,385.2,0,306.8,0,306.3,0,458.7,0,304.9,0,304.9,0,7.1,0,59.8,0,112.3,0,-73.5,0,38.8,0,29.0,0,53.8,0,0.4,0,166.5,0,989.9,0
2005,201,7,20,0,12,0.200,78.74,121.1,0,29.4,0,440.1,0,48.5,0,385.1,0,306.7,0,306.1,0,458.0,0,304.9,0,304.8,0,6.5,0,56.0,0,105.0,0,-72.9,0,32.1,0,29.0,0,53.7,0,0.4,0,166.4,0,989.9,0
2005,201,7,20,0,15,0.250,79.29,113.7,0,28.0,0,428.5,0,46.8,0,385.1,0,306.5,0,305.9,0,457.1,0,304.8,0,304.8,0,5.9,0,52.8,0,98.4,0,-72.0,0,26.5,0,28.9,0,53.5,0,0.6,0,164.2,0,989.9,0
2005,201,7,20,0,18,0.300,79.83,104.7,0,26.5,0,406.5,0,45.1,0,384.7,0,306.4,0,305.8,0,456.1,0,304.7,0,304.7,0,5.4,0,48.8,0,90.4,0,-71.3,0,19.0,0,28.8,0,56.3,0,0.8,0,159.7,0,990.0,0
2005,201,7,20,0,21,0.350,80.37,97.3,0,24.8,0,390.6,0,43.3,0,384.5,0,306.2,0,305.6,0,455.3,0,304.6,0,304.6,0,4.9,0,45.5,0,83.8,0,-70.7,0,13.1,0,28.6,0,58.8,0,0.6,0,153.8,0,990.0,0
2005,201,7,20,0,24,0.400,80.90,90.5,0,23.2,0,377.3,0,41.3,0,384.0,0,306.0,0,305.4,0,454.7,0,304.5,0,304.4,0,4.5,0,42.5,0,77.7,0,-70.7,0,7.1,0,28.5,0,58.9,0,0.7,0,139.8,0,990.0,0
2005,201,7,20,0,27,0.450,81.44,83.5,0,21.7,0,362.1,0,39.4,0,383.5,0,305.8,0,305.2,0,453.7,0,304.4,0,304.3,0,4.0,0,39.4,0,71.6,0,-70.2,0,1.4,0,28.4,0,59.3,0,0.9,0,129.3,0,990.0,0
