"YEAR", "DDD", "MM", "DD", "HH", "mm", "hh.mmm", "ZNAGL", "dw_psp", "qc", "uw_psp", "qc", "direct", "qc", "diffuse", "qc", "dw_pir", "qc", "dwCasTmp", "qc", "dwDomTmp", "qc", "uw_pir", "qc", "uwCastmp", "qc", "uwDomtmp", "qc", "uvb", "qc", "par", "qc", "netSolar", "qc", "netIr", "qc", "totalNet", "qc", "temp", "qc", "rh", "qc", "windSp", "qc", "winsDir", "qc", "Baro", "qc"
2006,185,7,4,0,0,0.000,75.57,24.5,0,5.3,0,-3.6,0,29.7,0,418.2,0,305.5,0,305.1,0,465.6,0,303.9,0,303.8,0,5.1,0,14.7,0,24.4,0,-47.3,0,-23.0,0,30.2,0,54.3,0,4.6,0,224.8,0,988.8,0
2006,185,7,4,0,3,0.050,76.11,28.7,0,6.0,0,-3.2,0,33.9,0,421.0,0,305.3,0,305.0,0,465.7,0,303.7,0,303.7,0,4.7,0,16.3,0,28.0,0,-44.7,0,-16.7,0,30.1,0,54.9,0,4.3,0,226.1,0,988.8,0
2006,185,7,4,0,6,0.100,76.65,31.0,0,6.4,0,-2.6,0,36.3,0,421.0,0,305.1,0,304.8,0,465.6,0,303.6,0,303.5,0,4.3,0,17.1,0,29.9,0,-44.6,0,-14.7,0,30.0,0,55.4,0,4.0,0,226.3,0,988.8,0
2006,185,7,4,0,9,0.150,77.19,30.6,0,6.3,0,-2.2,0,35.9,0,421.6,0,305.0,0,304.7,0,465.2,0,303.5,0,303.4,0,3.8,0,16.2,0,29.6,0,-43.7,0,-14.1,0,29.9,0,55.7,0,4.0,0,224.8,0,988.7,0
2006,185,7,4,0,12,0.200,77.73,27.3,0,5.7,0,-1.9,0,32.8,0,422.7,0,304.8,0,304.6,0,465.0,0,303.4,0,303.3,0,3.2,0,15.2,0,27.1,0,-42.3,0,-15.3,0,29.9,0,55.9,0,3.9,0,224.1,0,988.6,0
2006,185,7,4,0,15,0.250,78.27,22.2,0,5.0,0,-1.7,0,27.8,0,424.4,0,304.7,0,304.5,0,464.8,0,303.3,0,303.3,0,2.5,0,12.9,0,22.8,0,-40.3,0,-17.5,0,29.9,0,55.8,0,4.0,0,222.8,0,988.6,0
2006,185,7,4,0,18,0.300,78.80,17.1,0,4.3,0,-1.5,0,22.6,0,426.2,0,304.6,0,304.4,0,464.4,0,303.2,0,303.2,0,1.9,0,10.6,0,18.3,0,-38.1,0,-19.8,0,29.8,0,55.9,0,4.1,0,224.5,0,988.6,0
2006,185,7,4,0,21,0.350,79.33,12.8,0,3.5,0,-1.4,0,18.2,0,427.5,0,304.5,0,304.3,0,463.9,0,303.2,0,303.1,0,1.4,0,8.6,0,14.7,0,-36.5,0,-21.8,0,29.8,0,56.0,0,4.2,0,224.3,0,988.6,0
2006,185,7,4,0,24,0.400,79.86,9.1,0,3.0,0,-1.5,0,14.5,0,428.9,0,304.4,0,304.2,0,463.3,0,303.1,0,303.1,0,1.0,0,6.9,0,11.5,0,-34.4,0,-22.9,0,29.7,0,56.3,0,4.1,0,217.3,0,988.6,0
2006,185,7,4,0,27,0.450,80.39,6.3,0,2.7,0,-1.6,0,11.5,0,429.3,0,304.3,0,304.1,0,462.2,0,303.0,0,303.0,0,0.8,0,5.6,0,8.8,0,-32.9,0,-24.1,0,29.6,0,57.3,0,3.8,0,212.0,0,988.7,0
