"YEAR", "DDD", "MM", "DD", "HH", "mm", "hh.mmm", "ZNAGL", "dw_psp", "qc", "uw_psp", "qc", "direct", "qc", "diffuse", "qc", "dw_pir", "qc", "dwCasTmp", "qc", "dwDomTmp", "qc", "uw_pir", "qc", "uwCastmp", "qc", "uwDomtmp", "qc", "uvb", "qc", "par", "qc", "netSolar", "qc", "netIr", "qc", "totalNet", "qc", "temp", "qc", "rh", "qc", "windSp", "qc", "winsDir", "qc", "Baro", "qc"
2006,112,4,22,0,0,0.000,83.34,65.3,0,25.9,0,335.7,0,34.5,0,305.2,0,299.3,0,298.3,0,396.8,0,294.1,0,294.1,0,2.3,0,29.5,0,47.5,0,-91.5,0,-44.0,0,20.6,0,29.2,0,4.5,0,268.8,0,986.4,0
2006,112,4,22,0,3,0.050,83.89,57.6,0,23.5,0,309.0,0,32.1,0,304.8,0,299.2,0,298.1,0,396.0,0,293.9,0,293.9,0,2.0,0,26.0,0,41.4,0,-91.1,0,-49.7,0,20.4,0,29.6,0,4.7,0,270.1,0,986.4,0
2006,112,4,22,0,6,0.100,84.44,50.1,0,20.9,0,280.8,0,29.7,0,304.5,0,299.0,0,297.9,0,395.1,0,293.8,0,293.8,0,1.8,0,22.7,0,36.0,0,-90.5,0,-54.5,0,20.3,0,29.5,0,4.7,0,268.5,0,986.5,0
2006,112,4,22,0,9,0.150,84.99,43.4,0,18.5,0,254.1,0,27.3,0,304.2,0,298.8,0,297.8,0,392.9,0,293.7,0,293.7,0,1.5,0,19.7,0,31.0,0,-88.7,0,-57.7,0,20.2,0,30.3,0,4.3,0,268.8,0,986.6,0
2006,112,4,22,0,12,0.200,85.54,37.1,0,16.1,0,228.1,0,24.9,0,304.1,0,298.5,0,297.6,0,391.2,0,293.6,0,293.5,0,1.3,0,17.0,0,26.6,0,-87.2,0,-60.6,0,20.1,0,30.9,0,3.9,0,271.7,0,986.6,0
2006,112,4,22,0,15,0.250,86.08,30.8,0,13.6,0,197.5,0,22.4,0,303.8,0,298.3,0,297.4,0,389.4,0,293.4,0,293.4,0,1.1,0,14.5,0,22.3,0,-85.6,0,-63.3,0,20.0,0,31.1,0,3.8,0,275.5,0,986.6,0
2006,112,4,22,0,18,0.300,86.61,24.0,0,11.2,0,166.1,0,19.9,0,303.5,0,298.0,0,297.1,0,388.6,0,293.3,0,293.3,0,0.9,0,12.3,0,18.5,0,-85.1,0,-66.6,0,19.9,0,30.9,0,3.9,0,272.1,0,986.6,0
2006,112,4,22,0,21,0.350,87.14,17.5,0,9.0,0,129.7,0,17.2,0,303.0,0,297.8,0,296.9,0,387.0,0,293.1,0,293.1,0,0.8,0,10.2,0,14.7,0,-84.0,0,-69.3,0,19.8,0,31.6,0,3.7,0,275.8,0,986.6,0
2006,112,4,22,0,24,0.400,87.66,13.3,0,6.9,0,97.3,0,14.6,0,303.0,0,297.5,0,296.6,0,386.9,0,293.0,0,293.0,0,0.6,0,8.4,0,11.7,0,-83.9,0,-72.2,0,19.8,0,30.6,0,3.8,0,283.9,0,986.6,0
2006,112,4,22,0,27,0.450,88.17,10.6,0,5.4,0,70.1,0,12.0,0,302.5,0,297.2,0,296.3,0,384.6,0,292.9,0,292.9,0,0.5,0,6.9,0,8.9,0,-82.2,0,-73.3,0,19.7,0,31.4,0,3.6,0,289.9,0,986.6,0
2006,112,4,22,0,30,0.500,88.66,8.1,0,4.3,0,41.9,0,9.4,0,301.8,0,296.9,0,296.1,0,382.8,0,292.8,0,292.7,0,0.4,0,5.5,0,6.1,0,-81.1,0,-75.0,0,19.5,0,32.3,0,3.8,0,292.1,0,986.7,0
2006,112,4,22,0,33,0.550,89.13,5.8,0,3.2,0,19.6,0,6.9,0,300.8,0,296.7,0,295.8,0,380.8,0,292.6,0,292.5,0,0.3,0,4.3,0,4.0,0,-80.0,0,-76.0,0,19.2,0,34.5,0,3.7,0,295.2,0,986.7,0
